Timestamp,Page,Name,Old,New,User,IP
2024-09-25-12:22:13.502,Blowpin_Homing,Blowpin::fbAxisHomingFinish::OptionsDisableDriveAccess,false,true,__SystemUser, 
2024-09-25-12:22:39.112,Parameters_Settings,ParametersTableMultiPage,false,true,__SystemUser, 
2024-09-25-12:22:42.300,Parameters_Settings,Blowpin::fbParamHandle::Load,false,true,__SystemUser, 
2024-09-25-12:22:44.814,Parameters_Settings,Blowpin::fbParamHandle::Save,false,true,__SystemUser, 
2024-09-25-12:23:59.350,Blowpin_Homing,Blowpin::fbAxisHomingBlockDetect::OptionsDisableDriveAccess,false,true,__SystemUser, 
2024-09-25-12:24:00.530,Blowpin_Homing,Blowpin::fbAxisHomingBlock::OptionsDisableDriveAccess,false,true,__SystemUser, 
2024-09-25-12:24:02.816,Blowpin_Homing,Blowpin::fbAxisHomingFinish::OptionsDisableDriveAccess,false,true,__SystemUser, 
2024-09-25-12:24:19.408,Blowpin_Homing_Settings,Blowpin::fbAxisHomingSetup::DoHomingBlock,false,true,__SystemUser, 
2024-09-25-12:24:19.894,Blowpin_Homing_Settings,Blowpin::fbAxisHomingSetup::DoHomingBlock,false,true,__SystemUser, 
2024-09-25-12:24:20.068,Blowpin_Homing_Settings,Blowpin::fbAxisHomingSetup::DoHomingBlock,false,true,__SystemUser, 
2024-09-25-12:24:20.240,Blowpin_Homing_Settings,Blowpin::fbAxisHomingSetup::DoHomingBlock,false,true,__SystemUser, 
2024-09-25-13:16:09.833,Alarms,Machine::fbManualReset::fbCmd::ToWorkPos,false,true,__SystemUser, 
2024-09-25-13:17:01.203,Blowpin_Homing_Settings,Blowpin::fbAxisHomingSetup::DoHomingBlock,false,true,__SystemUser, 
2024-09-25-13:17:08.247,Blowpin_Homing_Settings,Blowpin::fbAxisHomingSetup::DoHomingBlockDetect,false,true,__SystemUser, 
2024-09-25-13:17:09.767,Blowpin_Homing_Settings,Blowpin::fbAxisHomingSetup::DoHomingFinish,false,true,__SystemUser, 
2024-09-25-13:17:10.557,Blowpin_Homing_Settings,Blowpin::fbAxisHomingSetup::DoHomingBlockSequence,false,true,__SystemUser, 
2024-09-25-13:17:12.807,Blowpin_Homing_Settings,Blowpin::fbAxisHomingSetup::DoHomingBlockSequence,false,true,__SystemUser, 
